<html>
<head>
<title>Jeremian 46	</title>
<div class="versenum">13.</div> Tama on Herran sana, jonka han puhui propheta Jeremialle, kuin Nebukadnetsar, Babelin kuningas, laksi matkaan lyomaan Egyptin maata:	

<div class="versenum">14.</div> Ilmoittakaat se Egyptissa ja kuuluttakaat Migdolissa, antakaat kuulla Nophissa ja Tahpanheksessa, ja sanokaat: seiso, valmista sinus, silla miekan pitaa syoman kaikki, mita sinun ymparillas on.	

<div class="versenum">15.</div> Kuinka se on, etta sinun vakevas kaatuvat maahan, ja ei taida pysya seisoalla? silla Herra on niin lykannyt heidat ylosalaisin.	

<div class="versenum">16.</div> Han tekee, etta monta heista kaatuvat, etta yksi toisen kanssa makaa maassa ylosalaisin. Niin he sanoivat: ylos, kaykaamme meidan kansamme tyko isaimme maahan jalleen, murhaajan miekan edesta.	

<div class="versenum">17.</div> Sita siella huudettakoon; Pharao Egyptin kuningas on metelin nostanut: ei han ole pitanyt maarattya aikaansa.	

<div class="versenum">18.</div> Niin totta kuin mina elan, sanoo se Kuningas, jonka nimi on Herra Zebaot, hanen pitaa tuleman niin (korkiana) kuin Tabor on vuorten seassa, ja niinkuin Karmel on meren tykona.	

<div class="versenum">19.</div> Laita itses matkustamaan, sina tytar, asuvainen Egyptissa; silla Nophin pitaa autioksi tuleman ja poltettaman, niin ettei kenenkaan pida siella asuman.	

<div class="versenum">20.</div> Egypti on juuri kaunis vasikka; mutta teurastaja tulee kaiketi pohjoisesta.	

<div class="versenum">21.</div> Ja hanen paivamiehensa, jotka siina asuvat, ovat myos kuin syotetyt vasikat; mutta heidan pitaa kumminkin palajaman, kaikki tuleman karkuriksi, ja ei taitaman pysya; silla heidan onnettomuuutensa paiva pitaa heidan paallensa tuleman, heidan rangaistuksensa aika.	

<div class="versenum">22.</div> He tulevat havisten niinkuin karmeet, ja tulevat sotajoukon voimalla, ja tulevat kirveilla hanen paallensa, niinkuin puiden hakkaajat.	

<div class="versenum">23.</div> Heidan pitaa havittaman hanen metsansa, sanoo Herra, ettei pida voitaman lukea; silla heita on enempi kuin heinasirkkoja, joita ei kenkaan lukea taida.	

<div class="versenum">24.</div> Egyptin tytar hapee, silla han on pohjoisen kansan kasiin annettu.	

<div class="versenum">25.</div> Herra Zebaot, Israelin Jumala sanoo: katso, mina tahdon rangaista Noon holhojan, ja Pharaon ja Egyptin, heidan jumalainsa ja kuningastensa kanssa, ja Pharaon kaikkein niiden kanssa, jotka haneen luottavat:	

<div class="versenum">26.</div> Niin etta mina annan heidat niiden kasiin, jotka heidan henkeansa vaijyvat, ja Nebukadnetsarin, Babelin kuninkaan kasiin, ja hanen palveliainsa kasiin; ja sitte pitaa (siina) asuttaman, niinkuin muinenkin, sanoo Herra.	

<div class="versenum">27.</div> Mutta sina minun palveliani Jakob, ala mitaan pelkaa, ja sina Israel, ala mitaan epaile; silla katso, mina autan sinua kaukaa, ja sinun siemenes vankiutensa maasta, niin etta Jakobin pitaa tuleman jalleen, ja oleman rauhassa ja levossa, ja ei pida kenenkaan hanta peljattaman.	

<div class="versenum">28.</div> Sentahden ala mitaan pelkaa, sina Jakob minun palveliani, sanoo Herra, silla mina olen sinun tykonas; silla mina lopetan kaikki pakanat, kuhunka mina olen sinut ajanut; mutta en mina sinua lopeta, vaan tahdon kurittaa sinua kohtuudella, ja en sinua perati rankaisematta pida.	
</body>
</html>
